index,time_sec,video_frame_index,prediction_index,top_regions,png_path
69,34.5,826,34,R Sulcus orbital med-olfact (1.95); R Gyrus rectus (1.82); L Gyrus temp sup-Lateral (1.82); L Sulcus circular insula inf (1.81); L Gyrus rectus (1.80); R Sulcus orbital-H Shaped (1.75),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0069_0034.5s.png
70,35.0,838,35,L Gyrus rectus (1.95); R Sulcus orbital med-olfact (1.89); L Gyrus temp sup-Lateral (1.84); L Sulcus circular insula inf (1.83); R Gyrus temp sup-Plan polar (1.79); R Gyrus orbital (1.77); R Sulcus circular insula inf (1.72),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0070_0035.0s.png
71,35.5,850,35,L Gyrus rectus (1.95); R Sulcus orbital med-olfact (1.89); L Gyrus temp sup-Lateral (1.84); L Sulcus circular insula inf (1.83); R Gyrus temp sup-Plan polar (1.79); R Gyrus orbital (1.77); R Sulcus circular insula inf (1.72),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0071_0035.5s.png
72,36.0,862,36,L Gyrus rectus (2.07); R Gyrus orbital (1.94); L Gyrus orbital (1.87); L Gyrus temp sup-Lateral (1.86); R Gyrus temp sup-Plan polar (1.84); R Gyrus subcallosal (1.84); L Sulcus circular insula inf (1.82); R Sulcus orbital med-olfact (1.81),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0072_0036.0s.png
73,36.5,874,36,L Gyrus rectus (2.07); R Gyrus orbital (1.94); L Gyrus orbital (1.87); L Gyrus temp sup-Lateral (1.86); R Gyrus temp sup-Plan polar (1.84); R Gyrus subcallosal (1.84); L Sulcus circular insula inf (1.82); R Sulcus orbital med-olfact (1.81),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0073_0036.5s.png
74,37.0,886,37,R Gyrus and Sulcus cingul-Ant (2.03); L Gyrus orbital (1.97); R Gyrus orbital (1.97); L Gyrus rectus (1.95); R Gyrus subcallosal (1.92); L Gyrus temp sup-Lateral (1.90); R Gyrus temp sup-Plan polar (1.78); L Gyrus oc-temp med-Parahip (1.75),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0074_0037.0s.png
75,37.5,898,37,R Gyrus and Sulcus cingul-Ant (2.03); L Gyrus orbital (1.97); R Gyrus orbital (1.97); L Gyrus rectus (1.95); R Gyrus subcallosal (1.92); L Gyrus temp sup-Lateral (1.90); R Gyrus temp sup-Plan polar (1.78); L Gyrus oc-temp med-Parahip (1.75),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0075_0037.5s.png
76,38.0,910,38,R Gyrus and Sulcus cingul-Ant (1.99); L Gyrus rectus (1.84); L Gyrus oc-temp med-Parahip (1.83); R Gyrus subcallosal (1.83); L Gyrus orbital (1.82); R Sulcus pericallosal (1.81); R Gyrus orbital (1.81); R Gyrus precuneus (1.78),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0076_0038.0s.png
77,38.5,922,38,R Gyrus and Sulcus cingul-Ant (1.99); L Gyrus rectus (1.84); L Gyrus oc-temp med-Parahip (1.83); R Gyrus subcallosal (1.83); L Gyrus orbital (1.82); R Sulcus pericallosal (1.81); R Gyrus orbital (1.81); R Gyrus precuneus (1.78),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0077_0038.5s.png
78,39.0,934,39,R Gyrus and Sulcus cingul-Ant (2.11); R Gyrus cingul-Post-dorsal (1.94); R Sulcus pericallosal (1.93); R Gyrus orbital (1.90); R Gyrus precuneus (1.90); L Sulcus front sup (1.87); L Gyrus precuneus (1.87); L Gyrus oc-temp med-Parahip (1.85),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0078_0039.0s.png
79,39.5,946,39,R Gyrus and Sulcus cingul-Ant (2.11); R Gyrus cingul-Post-dorsal (1.94); R Sulcus pericallosal (1.93); R Gyrus orbital (1.90); R Gyrus precuneus (1.90); L Sulcus front sup (1.87); L Gyrus precuneus (1.87); L Gyrus oc-temp med-Parahip (1.85),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0079_0039.5s.png
80,40.0,958,40,L Gyrus cingul-Post-dorsal (2.12); R Gyrus cingul-Post-dorsal (2.09); R Gyrus precuneus (2.05); R Gyrus and Sulcus cingul-Ant (2.05); R Sulcus pericallosal (2.04); R Sulcus orbital med-olfact (2.00); L Sulcus front sup (2.00); L Gyrus precuneus (1.96),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0080_0040.0s.png
81,40.5,970,40,L Gyrus cingul-Post-dorsal (2.12); R Gyrus cingul-Post-dorsal (2.09); R Gyrus precuneus (2.05); R Gyrus and Sulcus cingul-Ant (2.05); R Sulcus pericallosal (2.04); R Sulcus orbital med-olfact (2.00); L Sulcus front sup (2.00); L Gyrus precuneus (1.96),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/LAY_S_Last_Harvest_Super_Bowl_LX_Commercial_20260429_015322/frame_0081_0040.5s.png
